Subject,Question,Option A,Option B,Option C,Option D,Correct Answer
Mathematics,What is 2 + 2?,3,4,5,6,B
Mathematics,What is the square root of 16?,2,3,4,5,C
Mathematics,What is 5 × 7?,30,35,40,45,B
Mathematics,What is 100 ÷ 4?,20,25,30,35,B
Mathematics,What is 3²?,6,8,9,12,C
Mathematics,What is the value of π (pi) approximately?,2.14,3.14,4.14,5.14,B
Mathematics,What is 15% of 200?,25,30,35,40,B
Mathematics,What is the perimeter of a square with side length 5?,15,20,25,30,B
Mathematics,What is 8 - 3 × 2?,2,10,14,16,A
Mathematics,What is the area of a rectangle with length 6 and width 4?,20,22,24,26,C
