Subject,Question,Option A,Option B,Option C,Option D,Correct Answer
English,What is the plural of 'child'?,childs,childes,children,childs',C
English,Which word is a synonym for 'happy'?,sad,angry,joyful,tired,C
English,What type of word is 'quickly'?,noun,verb,adjective,adverb,D
English,Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,B
English,What is the past tense of 'go'?,goed,went,gone,going,B
English,Which sentence is grammatically correct?,Me and him went,Him and I went,He and I went,I and he went,C
English,What is an antonym for 'hot'?,warm,cool,fire,sun,B
English,Which word is spelled correctly?,recieve,receive,receve,receeve,B
English,What is the superlative form of 'good'?,gooder,goodest,better,best,D
English,In the sentence 'The cat sat on the mat' what is 'cat'?,verb,adjective,noun,adverb,C
