Subject,Question,Option A,Option B,Option C,Option D,Correct Answer
History,In which year did World War II end?,1944,1945,1946,1947,B
History,Who was the first President of the United States?,Thomas Jefferson,John Adams,George Washington,Benjamin Franklin,C
History,Which ancient wonder of the world was located in Alexandria?,Hanging Gardens,Lighthouse,Colossus,Pyramids,B
History,The Renaissance period began in which country?,France,Germany,Italy,Spain,C
History,Who wrote the Declaration of Independence?,George Washington,Benjamin Franklin,Thomas Jefferson,John Adams,C
History,Which empire was ruled by Julius Caesar?,Greek Empire,Roman Empire,Persian Empire,Egyptian Empire,B
History,In which year did the Berlin Wall fall?,1987,1988,1989,1990,C
History,Who was known as the Iron Lady?,Margaret Thatcher,Queen Elizabeth,Indira Gandhi,Golda Meir,A
History,Which war was fought between the North and South in America?,Revolutionary War,Civil War,War of 1812,Spanish-American War,B
History,Who discovered America in 1492?,Vasco da Gama,Christopher Columbus,Ferdinand Magellan,Marco Polo,B
